LotArea,YearBuilt,OverallQual,Neighborhood,SalePrice,Predicted_Price,Value_Gap
9825,1966,5,Edwards,123000,147666.22,24666.21875
8450,2001,6,SawyerW,190500,166079.73,-24420.265625
7425,1945,7,BrkSide,108000,149720.03,41720.03125
10304,1976,5,NWAmes,197500,146959.33,-50540.671875
4080,1935,6,OldTown,128900,117335.66,-11564.34375
16259,2006,9,NridgHt,342643,378174.38,35531.375
11616,1978,6,Sawyer,158900,169179.61,10279.609375
9717,1950,5,NAmes,142125,158176.55,16051.546875
10768,1976,5,Veenker,218000,165924.0,-52076.0
9187,2009,9,Somerst,370878,341427.5,-29450.5
9142,1900,5,OldTown,139500,115431.16,-24068.84375
3922,2006,7,Blmngtn,194201,196768.23,2567.234375
11249,1995,6,CollgCr,177500,193885.4,16385.40625
7800,1967,5,Sawyer,130000,132959.75,2959.75
10215,1954,4,Edwards,111000,108409.07,-2590.9296875
10800,2007,8,Somerst,339750,256091.2,-83658.796875
13651,1973,7,NAmes,244000,209701.88,-34298.125
4800,1910,5,OldTown,111000,89818.07,-21181.9296875
5870,1900,6,BrkSide,106900,122018.555,15118.5546875
9627,1993,7,Mitchel,188000,193366.0,5366.0
8512,1960,5,NAmes,119000,138931.2,19931.203125
12438,1995,6,CollgCr,187000,192815.72,5815.71875
1733,1980,6,Blueste,115000,141590.31,26590.3125
11327,1967,5,Sawyer,153600,144970.94,-8629.0625
7176,1978,6,Sawyer,160500,145667.55,-14832.453125
164660,1965,5,Timber,228950,223365.45,-5584.546875
14670,1966,6,NAmes,227000,208938.47,-18061.53125
3640,1980,8,Greens,188000,188707.2,707.203125
5775,1915,6,OldTown,123000,133086.02,10086.015625
9084,1941,5,Edwards,95000,115230.51,20230.5078125
10880,1950,5,Edwards,125000,136454.42,11454.421875
6120,1929,7,BrkSide,132000,149498.86,17498.859375
7588,1920,7,Crawfor,200100,173696.12,-26403.875
8750,1975,7,Mitchel,148000,177753.05,29753.046875
9742,2002,8,CollgCr,230000,258049.03,28049.03125
9937,1965,5,Edwards,147500,152083.11,4583.109375
7032,1979,5,NAmes,135960,114253.695,-21706.3046875
7560,1971,5,NAmes,123000,137582.67,14582.671875
9069,1992,6,SawyerW,147000,194634.55,47634.546875
11700,1968,6,NWAmes,175000,169476.52,-5523.484375
11235,1963,4,Sawyer,148000,116926.38,-31073.6171875
12285,1960,7,NAmes,176000,204359.77,28359.765625
9839,1931,5,SWISU,100000,164631.66,64631.65625
8741,1945,6,Edwards,113000,124919.414,11919.4140625
9259,1927,4,Sawyer,85000,82218.75,-2781.25
9116,2001,8,Mitchel,209000,242821.83,33821.828125
10759,1972,5,Sawyer,140000,146209.86,6209.859375
8750,1970,5,NAmes,148500,139252.48,-9247.515625
9125,1992,7,Gilbert,163900,154777.64,-9122.359375
3982,2006,8,Blmngtn,264561,229861.14,-34699.859375
11207,1997,6,Gilbert,185000,180945.95,-4054.046875
3880,1978,8,Greens,206000,192084.2,-13915.796875
11050,2000,9,CollgCr,313000,282225.28,-30774.71875
4920,2001,8,StoneBr,213500,279917.44,66417.4375
7703,1992,6,SawyerW,171500,169994.11,-1505.890625
21780,1918,6,Edwards,185000,223373.44,38373.4375
11394,2010,9,StoneBr,394432,351657.12,-42774.875
12000,1968,6,ClearCr,158900,174566.52,15666.515625
3951,1998,10,Somerst,345000,371822.03,26822.03125
8308,1963,4,Edwards,110000,112283.016,2283.015625
10246,1965,4,Sawyer,145000,136861.86,-8138.140625
9520,1953,4,Edwards,99000,112234.48,13234.4765625
12304,2005,7,NridgHt,192000,261270.12,69270.125
7200,1972,5,CollgCr,119900,127040.92,7140.921875
18559,1978,7,NWAmes,235000,252504.67,17504.671875
17140,1956,4,Edwards,135000,124855.625,-10144.375
9000,1958,6,NAmes,113500,143929.67,30429.671875
7155,1926,6,Crawfor,135000,134728.11,-271.890625
8125,1994,6,SawyerW,193500,182742.69,-10757.3125
11447,2005,8,Timber,370000,332946.7,-37053.3125
8769,2008,9,NridgHt,367294,325971.25,-41322.75
11512,1959,6,Edwards,177000,136933.6,-40066.40625
12205,1949,3,OldTown,65000,66602.94,1602.9375
6756,1910,5,OldTown,78000,109450.64,31450.640625
11060,2003,7,Edwards,229000,200176.62,-28823.375
7200,1950,4,NAmes,109900,100673.82,-9226.1796875
14977,2006,8,NridgHt,440000,321592.25,-118407.75
9560,1972,5,CollgCr,128500,140151.12,11651.125
10791,1993,6,NWAmes,243500,190178.19,-53321.8125
9738,1924,5,Edwards,104900,91617.555,-13282.4453125
3378,1946,7,OldTown,135000,122573.35,-12426.6484375
6600,1982,5,Mitchel,138000,132788.8,-5211.203125
6845,1955,4,Edwards,82500,83069.77,569.7734375
4435,2003,6,CollgCr,144000,145049.25,1049.25
9375,1954,4,Edwards,146000,107432.94,-38567.0625
11625,1965,5,Sawyer,131500,142695.83,11195.828125
7407,1957,6,OldTown,149700,140831.19,-8868.8125
8400,1996,7,Gilbert,189000,174250.7,-14749.296875
8789,1967,5,Sawyer,129200,127960.336,-1239.6640625
7223,1926,5,Crawfor,136500,117070.56,-19429.4375
6125,1939,5,BrkSide,135000,120732.13,-14267.8671875
5400,1920,6,OldTown,119000,111650.43,-7349.5703125
8400,1968,5,NAmes,138500,138851.67,351.671875
1680,1971,6,BrDale,85400,95885.31,10485.3125
10512,1954,6,Edwards,154000,154734.98,734.984375
8640,2006,8,Somerst,198600,232179.14,33579.140625
7741,1924,6,OldTown,108000,146777.58,38777.578125
11677,1966,5,Sawyer,123000,146897.06,23897.0625
9503,1958,5,NAmes,144000,134065.77,-9934.234375
12228,2006,7,NridgHt,293000,269890.1,-23109.90625
10900,1977,6,CollgCr,161750,174976.36,13226.359375
11375,1954,6,Sawyer,150000,158481.92,8481.921875
7010,1935,5,BrkSide,153000,141416.16,-11583.84375
8235,1977,5,Sawyer,157000,142460.73,-14539.265625
6285,1977,5,Sawyer,120750,136743.05,15993.046875
10367,2008,9,NridgHt,335000,361157.47,26157.46875
8740,2002,7,Gilbert,219500,218422.48,-1077.515625
1680,1973,6,BrDale,103400,104861.0,1461.0
8413,1998,8,Somerst,312500,241121.2,-71378.796875
7390,1955,5,NAmes,135000,129556.414,-5443.5859375
9140,1921,6,IDOTRR,110000,136616.25,26616.25
7560,1958,5,NAmes,139000,128795.17,-10204.828125
13641,2007,9,NridgHt,492000,452380.1,-39619.90625
8826,2000,7,CollgCr,217500,209585.67,-7914.328125
15295,1996,7,CollgCr,211000,222470.02,11470.015625
9450,1957,4,NAmes,140000,121530.6,-18469.3984375
5604,1925,5,Edwards,98000,104882.17,6882.171875
8400,1980,6,SawyerW,171000,140136.42,-30863.578125
13587,1958,5,NAmes,119000,131360.19,12360.1875
9801,2007,8,Somerst,257000,239754.56,-17245.4375
21370,1950,5,Sawyer,131000,147768.3,16768.296875
10928,2005,7,Gilbert,184000,208401.77,24401.765625
6264,1997,8,StoneBr,247900,267846.4,19946.40625
4230,2006,7,Somerst,208900,190087.39,-18812.609375
7018,1979,5,SawyerW,153337,128333.31,-25003.6875
8856,1957,5,NAmes,136500,130809.78,-5690.21875
13300,2004,7,Gilbert,184500,269771.4,85271.40625
9945,1961,5,Sawyer,128500,133063.5,4563.5
6565,1957,4,IDOTRR,140000,99704.82,-40295.1796875
7150,1966,5,NAmes,129250,111981.984,-17268.015625
8910,1959,6,NAmes,159500,142913.62,-16586.375
12000,1980,7,Veenker,255000,224468.9,-30531.09375
10000,1962,6,NAmes,160000,159183.33,-816.671875
13891,2007,9,NridgHt,479069,459733.28,-19335.71875
7915,1999,6,Timber,195000,183149.3,-11850.703125
7599,1982,4,Mitchel,129500,157892.72,28392.71875
12354,1920,6,Edwards,110000,184330.1,74330.09375
9736,1957,6,NAmes,174850,155424.1,-19425.90625
10208,1996,7,NoRidge,265000,264520.97,-479.03125
11084,2004,7,Gilbert,175000,197194.27,22194.265625
4000,1930,7,Crawfor,148500,145955.28,-2544.71875
7230,1927,7,Crawfor,238000,173846.95,-64153.046875
10721,1959,6,NAmes,142000,146077.77,4077.765625
9723,1963,6,NAmes,135000,177465.7,42465.703125
1491,1972,4,MeadowV,75500,84890.5,9390.5
8064,1948,6,NAmes,132000,136055.56,4055.5625
6488,1942,5,Edwards,128000,116028.66,-11971.34375
5400,1920,5,OldTown,86000,106369.59,20369.59375
11988,1957,6,NAmes,150000,161443.0,11443.0
11777,1966,5,Sawyer,164500,155568.2,-8931.796875
9360,1968,6,NAmes,157500,169847.0,12347.0
8012,1980,6,SawyerW,143000,136213.25,-6786.75
12090,1998,8,NoRidge,258000,317338.78,59338.78125
11198,2005,9,StoneBr,325000,339479.56,14479.5625
10000,1961,5,Sawyer,131400,157380.83,25980.828125
7150,1955,4,NAmes,115000,113164.57,-1835.4296875
10800,1920,5,OldTown,106000,126405.45,20405.453125
8285,1992,7,SawyerW,175000,207825.27,32825.265625
9120,1925,7,BrkSide,184000,159875.61,-24124.390625
7500,2004,6,SawyerW,143500,148851.31,5351.3125
10019,1995,8,NoRidge,350000,298910.1,-51089.90625
9000,2006,7,Somerst,210400,230220.1,19820.09375
6000,1939,6,BrkSide,128000,127174.02,-825.9765625
15863,1920,7,SWISU,197000,242807.6,45807.59375
9600,1950,4,Sawyer,128000,110319.18,-17680.8203125
8000,1962,5,NAmes,125900,140759.06,14859.0625
9373,1953,5,NAmes,137500,144755.25,7255.25
10574,2005,8,Somerst,252000,290827.47,38827.46875
9764,1967,5,Sawyer,130000,123881.85,-6118.1484375
4712,1946,4,BrkSide,121600,82067.31,-39532.6875
6853,2001,8,Timber,220000,200028.98,-19971.015625
10762,1980,6,SawyerW,120000,134836.86,14836.859375
1495,1970,4,MeadowV,93900,83322.13,-10577.8671875
6240,1928,5,BrkSide,149000,120506.016,-28493.984375
7242,2005,7,CollgCr,175900,187217.47,11317.46875
6240,1930,5,BrkSide,162900,115473.65,-47426.3515625
12900,1912,6,OldTown,159900,158218.88,-1681.125
7449,1930,7,IDOTRR,139400,152275.97,12875.96875
10592,1923,6,Crawfor,165000,161164.1,-3835.90625
10176,1990,7,Gilbert,171500,160299.11,-11200.890625
9399,1919,7,Crawfor,167000,156945.6,-10054.40625
9768,1955,5,NAmes,122000,137507.23,15507.234375
12665,2005,8,Timber,281213,292490.75,11277.75
8238,1997,6,Gilbert,183500,179817.73,-3682.265625
10852,2000,6,Gilbert,173000,205712.34,32712.34375
2368,1970,5,BrDale,125000,120431.1,-4568.8984375
7264,1925,7,BrkSide,205000,147444.56,-57555.4375
12633,2007,9,Timber,425000,276088.5,-148911.5
10791,1967,4,Sawyer,90000,119542.125,29542.125
4899,1920,6,SWISU,149000,120205.07,-28794.9296875
8049,1990,7,Timber,180000,211917.56,31917.5625
8760,1957,6,NAmes,141000,145226.36,4226.359375
7023,2005,5,Edwards,171500,158550.38,-12949.625
1700,1980,7,ClearCr,148400,154685.22,6285.21875
7000,1924,6,OldTown,112000,128959.94,16959.9375
10441,1992,5,Mitchel,132000,131500.19,-499.8125
6000,1940,6,BrkSide,128000,124483.82,-3516.1796875
12191,1997,8,NoRidge,384500,337439.47,-47060.53125
9144,1940,5,BrkSide,145000,116450.02,-28549.9765625
8510,1971,5,NAmes,143000,137894.75,-5105.25
1612,1980,6,Blueste,121000,141590.31,20590.3125
1879,1980,6,Blueste,116500,141590.31,25090.3125
11767,1950,5,Edwards,120000,119398.52,-601.4765625
7500,1963,5,Sawyer,133000,135645.45,2645.453125
9000,1969,6,NWAmes,113000,175232.58,62232.578125
9900,1880,6,OldTown,117500,211475.16,93975.15625
7450,1956,5,NAmes,124000,131433.31,7433.3125
8899,2007,7,Gilbert,181134,175439.1,-5694.90625
13650,2002,8,NridgHt,320000,329498.47,9498.46875
15676,1980,8,Veenker,275000,322789.9,47789.90625
15957,1977,6,Mitchel,188000,188959.14,959.140625
9505,2001,7,Gilbert,222500,181605.5,-40894.5
22950,1892,10,OldTown,475000,344541.03,-130458.96875
6120,1926,5,BrkSide,132500,102707.06,-29792.9375
10142,2004,7,SawyerW,233000,182725.89,-50274.109375
7200,1972,5,CollgCr,124900,127040.92,2140.921875
1484,1972,4,MeadowV,79400,84890.5,5490.5
9965,2007,7,CollgCr,383970,266033.0,-117937.0
9819,1977,6,Mitchel,196000,170033.6,-25966.40625
4282,2004,7,Somerst,196000,187475.8,-8524.203125
7942,1953,6,NAmes,136000,138108.98,2108.984375
9660,1997,8,NoRidge,284500,335502.8,51002.8125
12887,1984,5,Mitchel,149900,149722.4,-177.59375
10566,1999,8,CollgCr,268500,278425.4,9925.40625
11426,1910,4,OldTown,118000,118346.39,346.390625
12375,1951,5,Sawyer,137500,147287.61,9787.609375
9158,2007,8,Somerst,225000,249775.78,24775.78125
8239,1920,5,OldTown,100000,119148.555,19148.5546875
11765,1957,5,NAmes,169000,140535.34,-28464.65625
8900,1966,4,SawyerW,107000,102721.15,-4278.8515625
9316,1965,5,Sawyer,124100,138329.98,14229.984375
9900,1966,5,NAmes,159000,149995.92,-9004.078125
10926,1959,5,Edwards,119900,134248.0,14348.0
9863,1927,6,OldTown,145000,151900.44,6900.4375
12090,1984,6,NWAmes,178000,175389.0,-2611.0
4438,2004,6,CollgCr,149000,145465.06,-3534.9375
9600,1950,6,NAmes,140000,143623.34,3623.34375
11339,1979,7,NWAmes,192000,183517.25,-8482.75
7400,1984,5,Sawyer,152000,150859.08,-1140.921875
4485,1920,5,OldTown,109500,96912.2,-12587.796875
16669,1981,8,Timber,228000,294462.4,66462.40625
11846,2003,9,NridgHt,374000,388105.6,14105.59375
13125,1991,7,SawyerW,238000,222738.6,-15261.40625
10410,1930,3,OldTown,99800,84391.41,-15408.59375
2289,1978,6,NPkVill,148500,144876.12,-3623.875
7200,1950,5,NAmes,138000,111886.25,-26113.75
14753,1998,7,CollgCr,207000,252335.88,45335.875
14311,1996,8,NWAmes,306000,313153.06,7153.0625
10447,1984,5,Mitchel,124500,141422.48,16922.484375
8712,1952,5,IDOTRR,55993,132799.0,76806.0
4435,2003,6,CollgCr,133000,145049.25,12049.25
1488,1980,6,Blueste,137000,127247.56,-9752.4375
10007,1959,5,NAmes,145500,142040.0,-3460.0
9790,1967,6,NWAmes,161500,192367.95,30867.953125
12018,2008,7,Timber,218689,217833.98,-855.015625
9135,2003,6,CollgCr,200000,187498.3,-12501.703125
6000,1940,6,BrkSide,164900,124483.82,-40416.1796875
9660,1998,8,NoRidge,286000,333471.06,47471.0625
16023,2005,9,StoneBr,457347,467869.06,10522.0625
3180,2005,6,Somerst,165000,146878.48,-18121.515625
3182,2005,7,Blmngtn,160200,182202.1,22002.09375
8400,1962,6,NAmes,174000,149369.06,-24630.9375
7314,2007,7,CollgCr,194500,193624.0,-876.0
11080,1975,6,Mitchel,148000,154405.19,6405.1875
8172,1954,4,Edwards,135000,103839.12,-31160.8828125
2645,1999,8,Somerst,174000,182867.73,8867.734375
9600,1976,8,Veenker,180500,271856.12,91356.125
9600,1960,5,NAmes,141500,141172.61,-327.390625
15138,1995,8,NoRidge,403000,311341.9,-91658.09375
9849,2007,7,Somerst,248328,225572.84,-22755.15625
7332,1959,6,NAmes,120000,149136.17,29136.171875
13693,2007,10,NridgHt,610000,499185.94,-110814.0625
14006,2002,7,CollgCr,192500,196662.08,4162.078125
6240,2006,8,NridgHt,221370,235223.25,13853.25
5500,1929,5,OldTown,130000,117107.08,-12892.921875
17529,1924,5,Sawyer,105000,190324.69,85324.6875
13214,2008,9,Timber,378500,384007.72,5507.71875
11064,1995,8,Veenker,217500,279202.53,61702.53125
9888,1954,5,NAmes,121000,138603.84,17603.84375
13101,1965,5,NAmes,142600,131729.95,-10870.046875
11414,1910,7,BrkSide,167500,208012.92,40512.921875
10678,1992,8,NoRidge,285000,302271.0,17271.0
4853,1924,5,SWISU,104000,122077.086,18077.0859375
7244,1970,5,Mitchel,129500,131670.95,2170.953125
2572,1999,7,Somerst,155000,160892.22,5892.21875
7832,1968,5,Sawyer,137250,129720.74,-7529.2578125
7939,2000,7,SawyerW,269500,249781.86,-19718.140625
13517,1976,6,Sawyer,130500,145087.23,14587.234375
9675,1975,5,CollgCr,120000,146197.95,26197.953125
11367,2002,8,CollgCr,255000,254380.05,-619.953125
10000,1993,6,Gilbert,175900,169642.48,-6257.515625
11160,1968,7,NAmes,244000,201672.17,-42327.828125
10267,1918,6,BrkSide,130000,134881.44,4881.4375
11308,2008,9,NridgHt,335000,354066.62,19066.625
10355,1967,5,NAmes,143000,147571.88,4571.875
9144,1915,6,BrkSide,162500,132699.12,-29800.875
8063,2000,6,Gilbert,181000,197372.11,16372.109375
13695,2004,5,SawyerW,159000,133290.03,-25709.96875
8250,1935,5,Edwards,125000,134438.33,9438.328125
6000,1924,5,OldTown,139000,105494.94,-33505.0625
5220,1936,5,SWISU,80000,108805.055,28805.0546875
6173,1967,5,Sawyer,125500,123715.24,-1784.7578125
9000,1946,5,OldTown,140000,108791.57,-31208.4296875
17871,1967,6,NWAmes,197900,198906.62,1006.625
13265,2002,8,Mitchel,271000,297992.62,26992.625
11002,1998,8,NoRidge,322500,306027.12,-16472.875
12102,1976,5,Edwards,165000,135686.27,-29313.734375
6171,1925,6,SWISU,137450,109234.79,-28215.2109375
5568,2006,8,Crawfor,375000,312639.4,-62360.59375
9780,1950,7,IDOTRR,212300,178377.5,-33922.5
8190,1954,4,Edwards,119000,103839.12,-15160.8828125
12095,1964,6,NAmes,158000,161283.72,3283.71875
7252,1982,5,Sawyer,134900,137228.03,2328.03125
8500,1961,5,NAmes,98600,138837.73,40237.734375
9656,1923,2,OldTown,12789,67651.0,54862.0
2217,1970,4,MeadowV,88000,79373.81,-8626.1875
10320,1915,6,IDOTRR,161000,121529.17,-39470.828125
12493,1960,4,NAmes,141000,118914.164,-22085.8359375
9825,1965,5,Edwards,100000,148140.64,48140.640625
8760,1956,5,NAmes,150000,134183.28,-15816.71875
7917,1976,6,Edwards,148000,127935.71,-20064.2890625
9303,1996,6,Timber,204000,186420.77,-17579.234375
15306,2006,8,Timber,283463,287062.88,3599.875
9100,1958,5,NAmes,129900,130743.63,843.6328125
8125,1965,5,NAmes,135000,138626.66,3626.65625
